city,location,area,no._of_bedrooms,price
hyderabad,Nizampet,1340,2.0,69.68
hyderabad,Hitech City,3498,4.0,290.0
hyderabad,Manikonda,1318,2.0,65.9
hyderabad,Alwal,1295,3.0,57.39
hyderabad,Kukatpally,1145,2.0,56.79
hyderabad,Nizampet,1230,2.0,60.99
hyderabad,Manikonda,1350,2.0,70.0
hyderabad,Gachibowli,1400,3.0,41.98
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Gachibowli,1520,2.0,98.0
hyderabad,Kokapet,1535,3.0,89.03
hyderabad,Hyder Nagar,1150,2.0,63.0
hyderabad,Mehdipatnam,1285,2.0,63.0
hyderabad,Tellapur,1897,3.0,90.0
hyderabad,Narsingi,1725,3.0,111.0
hyderabad,Kukatpally,1592,3.0,109.0
hyderabad,Madhapur,1150,2.0,86.25
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Puppalaguda,1050,3.0,39.0
hyderabad,Nizampet,1340,2.0,69.68
hyderabad,Hitech City,3498,4.0,290.0
hyderabad,Manikonda,1318,2.0,65.9
hyderabad,Alwal,1295,3.0,57.39
hyderabad,Kukatpally,1145,2.0,56.79
hyderabad,Nizampet,1230,2.0,60.99
hyderabad,Manikonda,1350,2.0,70.0
hyderabad,Gachibowli,1400,3.0,41.98
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Gachibowli,1520,2.0,98.0
hyderabad,Kokapet,1535,3.0,89.03
hyderabad,Hyder Nagar,1150,2.0,63.0
hyderabad,Mehdipatnam,1285,2.0,63.0
hyderabad,Tellapur,1897,3.0,90.0
hyderabad,Narsingi,1725,3.0,111.0
hyderabad,Kukatpally,1592,3.0,109.0
hyderabad,Madhapur,1150,2.0,86.25
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Puppalaguda,1050,3.0,39.0
hyderabad,Puppalaguda,1735,3.0,78.0
hyderabad,Narsingi,2800,3.0,196.0
hyderabad,Begumpet,1050,2.0,60.5
hyderabad,Kukatpally,1230,2.0,61.5
hyderabad,Nizampet,1175,2.0,50.0
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Banjara Hills,2956,4.0,300.0
hyderabad,AS Rao Nagar,680,2.0,25.0
hyderabad,Pragathi Nagar Kukatpally,1350,2.0,59.0
hyderabad,Miyapur,1970,3.0,97.0
hyderabad,Mallampet,1105,2.0,46.41
hyderabad,Nanakramguda,2005,3.0,160.0
hyderabad,Mallampet,1105,2.0,46.41
hyderabad,Attapur,1406,3.0,75.0
hyderabad,Alwal,1545,3.0,61.4
hyderabad,Nanakramguda,1495,3.0,105.0
hyderabad,West Marredpally,1300,3.0,72.0
hyderabad,Nizampet,1200,2.0,46.0
hyderabad,Hitech City,1450,3.0,104.0
hyderabad,Banjara Hills,1450,3.0,95.0
hyderabad,Narsingi,1912,3.0,99.42
hyderabad,Manikonda,1850,3.0,92.5
hyderabad,Puppalaguda,1300,3.0,45.0
hyderabad,Kompally,1674,3.0,96.0
hyderabad,Sri Nagar Colony,1242,3.0,86.0
hyderabad,Hakimpet,850,2.0,27.0
hyderabad,Pocharam,1895,3.0,66.0
hyderabad,Nagole,1636,3.0,85.89
hyderabad,LB Nagar,1076,2.0,55.0
hyderabad,Meerpet,1080,2.0,32.0
hyderabad,Kachiguda,2100,3.0,205.0
hyderabad,Manikonda,1265,2.0,63.0
hyderabad,Masab Tank,1300,3.0,64.0
hyderabad,Miyapur,1089,2.0,49.88
hyderabad,Kondapur,1400,2.0,105.0
hyderabad,Saroornagar,850,2.0,43.0
hyderabad,Nizampet,1100,2.0,39.0
hyderabad,Uppal Kalan,1700,3.0,55.0
hyderabad,Tellapur,2150,3.0,103.0
hyderabad,Mallapur,1195,2.0,66.0
hyderabad,Miyapur,1105,2.0,65.0
hyderabad,Manikonda,1205,2.0,57.84
hyderabad,Rajendra Nagar,1250,3.0,55.0
hyderabad,Puppalaguda,1340,2.0,67.0
hyderabad,Beeramguda,950,2.0,30.0
hyderabad,Moosapet,1100,2.0,47.0
hyderabad,Kondapur,1908,3.0,150.0
hyderabad,Bachupally,1675,3.0,78.72
hyderabad,Kokapet,1535,3.0,89.03
hyderabad,Nanakramguda,910,2.0,32.0
hyderabad,Lakdikapul,1325,3.0,56.0
hyderabad,Tarnaka,1717,3.0,110.0
hyderabad,West Marredpally,2400,3.0,120.0
hyderabad,Kondapur,1150,2.0,69.0
hyderabad,Kistareddypet,1200,2.0,39.99
hyderabad,Pragathi Nagar Kukatpally,1040,2.0,44.6
hyderabad,Hafeezpet,1181,2.0,72.98999
hyderabad,Kompally,2100,3.0,105.0
hyderabad,Shaikpet,1550,3.0,120.0
hyderabad,Amberpet,1280,3.0,77.0
hyderabad,Kokapet,1945,3.0,124.0
hyderabad,Hitech City,3500,4.0,282.0
hyderabad,Nagole,1000,2.0,37.0
hyderabad,Miyapur,1200,2.0,80.0
hyderabad,Gachibowli,2729,4.0,177.0
hyderabad,AS Rao Nagar,1500,3.0,69.98999
hyderabad,Banjara Hills,2165,3.0,194.0
hyderabad,Kapra,1050,2.0,30.0
hyderabad,Bachupally,1150,2.0,29.99
hyderabad,West Marredpally,1822,3.0,85.0
hyderabad,Puppalaguda,1270,1.0,65.0
hyderabad,Habsiguda,1600,3.0,85.0
hyderabad,Sanath Nagar,1818,3.0,145.0
hyderabad,Manikonda,1830,3.0,86.0
hyderabad,Kokapet,1815,3.0,90.73
hyderabad,Puppalaguda,1400,1.0,67.0
hyderabad,Nizampet,1220,2.0,63.44
hyderabad,Nizampet,1650,3.0,85.8
hyderabad,Nizampet,1680,3.0,87.36
hyderabad,Nizampet,1555,3.0,80.86
hyderabad,Nizampet,1685,3.0,87.62
hyderabad,Nizampet,1520,3.0,79.04
hyderabad,Nizampet,1225,2.0,63.7
hyderabad,Nizampet,1795,3.0,93.34
hyderabad,Nizampet,1435,2.0,74.62
hyderabad,Nizampet,1430,2.0,74.36
hyderabad,Nizampet,1265,2.0,65.78
hyderabad,Manikonda,2080,3.0,104.0
hyderabad,Manikonda,2092,3.0,104.0
hyderabad,Manikonda,1370,2.0,68.5
hyderabad,Manikonda,2232,3.0,111.0
hyderabad,Manikonda,2063,3.0,103.0
hyderabad,Manikonda,1400,2.0,70.0
hyderabad,Manikonda,1865,3.0,93.25
hyderabad,Manikonda,2270,3.0,112.99999
hyderabad,Manikonda,1896,3.0,94.8
hyderabad,Hitech City,3031,4.0,256.0
hyderabad,Manikonda,1702,3.0,85.1
hyderabad,Manikonda,1350,2.0,67.5
hyderabad,Manikonda,1525,3.0,76.25
hyderabad,Manikonda,1225,2.0,61.25
hyderabad,Manikonda,1728,3.0,86.4
hyderabad,Manikonda,1725,3.0,86.25
hyderabad,Manikonda,1300,2.0,65.0
hyderabad,Manikonda,1600,3.0,80.0
hyderabad,Manikonda,1200,2.0,60.0
hyderabad,Kothaguda,1640,3.0,99.0
hyderabad,Kompally,1830,3.0,82.34999
hyderabad,Kompally,1835,3.0,82.56999
hyderabad,Tellapur,1570,3.0,71.0
hyderabad,Tellapur,1570,3.0,99.0
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Sanath Nagar,1895,3.0,160.0
hyderabad,Manikonda,1600,3.0,80.0
hyderabad,Kukatpally,1140,2.0,56.54
hyderabad,Kukatpally,1150,2.0,57.04
hyderabad,Kukatpally,1530,3.0,75.88
hyderabad,Nizampet,1230,2.0,59.99
hyderabad,Manikonda,1300,2.0,60.0
hyderabad,Gachibowli,1050,2.0,31.48
hyderabad,Gachibowli,1665,3.0,63.25
hyderabad,Gachibowli,1250,2.0,47.48
hyderabad,Gachibowli,1250,2.0,47.48
hyderabad,Gachibowli,1900,3.0,81.68
hyderabad,Gachibowli,1900,3.0,81.68
hyderabad,Gachibowli,1815,2.0,78.02
hyderabad,Gachibowli,1250,2.0,53.73
hyderabad,Moosapet,1530,3.0,74.0
hyderabad,Balanagar,1530,3.0,74.0
hyderabad,Kokapet,1535,3.0,89.03
hyderabad,Kokapet,3380,4.0,202.0
hyderabad,Kokapet,3380,4.0,202.0
hyderabad,Kokapet,1875,3.0,108.0
hyderabad,Kokapet,1875,3.0,108.0
hyderabad,Kokapet,2540,3.0,152.0
hyderabad,Kokapet,2540,3.0,152.0
hyderabad,Kokapet,2630,4.0,152.0
hyderabad,Kokapet,2630,4.0,152.0
hyderabad,Jubilee Hills,4500,4.0,472.0
hyderabad,Kokapet,3380,4.0,215.0
hyderabad,Manikonda,2700,3.0,120.0
hyderabad,Tellapur,1792,3.0,100.0
hyderabad,Tellapur,1673,3.0,95.0
hyderabad,Narsingi,1665,3.0,107.0
hyderabad,Narsingi,1640,3.0,107.0
hyderabad,Narsingi,1640,3.0,107.0
hyderabad,Banjara Hills,2200,3.0,170.0
hyderabad,Pragathi Nagar Kukatpally,1170,2.0,40.0
hyderabad,Pragathi Nagar Kukatpally,1170,2.0,40.0
hyderabad,Banjara Hills,1600,4.0,85.0
hyderabad,Miyapur,1644,3.0,86.0
hyderabad,Miyapur,1644,3.0,85.99
hyderabad,Miyapur,1687,3.0,88.98
hyderabad,Miyapur,1650,3.0,85.99
hyderabad,Miyapur,1554,3.0,82.98999
hyderabad,Miyapur,1684,3.0,85.98
hyderabad,Miyapur,1650,3.0,88.98
hyderabad,Murad Nagar,970,2.0,42.0
hyderabad,Murad Nagar,970,2.0,42.0
hyderabad,Tellapur,2240,3.0,100.0
hyderabad,Puppalaguda,1050,3.0,39.0
hyderabad,Tellapur,2240,3.0,100.0
hyderabad,Tellapur,2240,3.0,99.0
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Chandanagar,1600,3.0,78.4
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Hitech City,1150,2.0,86.0
hyderabad,Manikonda,1415,3.0,68.0
hyderabad,Banjara Hills,1980,3.0,185.0
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Chandanagar,1600,3.0,78.4
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Hitech City,1150,2.0,86.0
hyderabad,Chandanagar,1200,2.0,58.8
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1100,2.0,44.0
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Nizampet,1190,2.0,47.6
hyderabad,Kukatpally,1905,3.0,99.06
hyderabad,Kukatpally,1925,3.0,100.0
hyderabad,Uppal Kalan,1482,3.0,61.87
hyderabad,Nizampet,1100,2.0,38.0
hyderabad,East Marredpally,1800,3.0,115.0
hyderabad,East Marredpally,1800,3.0,120.0
hyderabad,Mallampet,1105,2.0,46.41
hyderabad,Mallampet,1105,2.0,46.41
hyderabad,Mallampet,1105,2.0,46.41
hyderabad,Banjara Hills,1980,3.0,185.0
hyderabad,Hitech City,1150,2.0,86.0
hyderabad,Manikonda,1415,3.0,68.0
hyderabad,Kukatpally,1730,3.0,111.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
hyderabad,Aminpur,1100,2.0,44.0
