iter	RMSE
0	0.766189935
1	0.7554547203
2	0.7450345767
3	0.7348535762
4	0.7246672399
5	0.7150859375
6	0.7056899403
7	0.6967854075
8	0.6876243506
9	0.6788989737
10	0.6711591935
11	0.663025493
12	0.6547079374
13	0.64641287
14	0.6389336655
15	0.631206893
16	0.6239490676
17	0.6168985206
18	0.6097004107
19	0.6028547503
20	0.5963403008
21	0.5899426612
22	0.5837523727
23	0.5776107317
24	0.5714874104
25	0.5655743661
26	0.5601150606
27	0.5548898413
28	0.549714828
29	0.5443937213
30	0.5394037631
31	0.5343864375
32	0.5292914332
33	0.5246499856
34	0.5201183608
35	0.5158531646
36	0.5114610051
37	0.5070539747
38	0.5029895814
39	0.4988425612
40	0.4948408133
41	0.4910316484
42	0.4871443322
43	0.4832657573
44	0.4798466057
45	0.4762607483
46	0.4731853633
47	0.4699348423
48	0.4669574346
49	0.4638377673
50	0.4607769191
51	0.4577574007
52	0.45487881
53	0.4521491098
54	0.449592152
55	0.4468533195
56	0.4443670958
57	0.441992144
58	0.4397093809
59	0.4373474118
60	0.4353756262
61	0.4331796038
62	0.4310072773
63	0.4289688981
64	0.64	0.42410665	0.65	0.422177172
66	0.4201706421
67	0.418231981
68	0.416322777
69	0.4145786593
70	0.4128966969
71	0.4111350814
72	0.4094323823
73	0.4077047784
74	0.4061687549
75	0.4046445218
76	0.4033068447
77	0.4017206479
78	0.4003123423
79	0.3989858133
80	0.3976546008
81	0.3965025078
82	0.3953216103
83	0.3940112627
84	0.3928383576
85	0.3915170486	0.3944187557
87	0.3934285836
88	0.3923903836
89	0.3913568381
90	0.3903395857
91	0.3894594043
92	0.3885650869
93	0.3877131889
94	0.386788913
95	0.3858608514
96	0.3850662725
97	097	0.37982098	0.98	0.3789248836
99	0.3781483893
100	0.3772755417
101	0.3764099233
102	0.3755331315
103	0.3746998417
104	0.3740225168
105	0.3734154434
106	0.3726241061
107	0.3719930868
108	0.3713496207
109	0.3707064346
110	0.3701752035
111	0.3696191211
112	0.369113	0.3729065638
114	0.3723218216
115	0.3716959224
116	0.3711901958
117	0.3707072156
118	0.3701697617
119	0.3696939396
120	0.3692327415
121	0.3686643836
122	0.3682817654
123	0.3678105643
124	0.3673756414
125	0.3669704853
126	0.3665396783
127	0.3660343358
128	0.3656513911
129	0.3653243422
130	0.36490906
131	0.3645506249
132	0.3642710822
133	0.3638725399
134	0.3635872122
135	0.3632511786
136	0.3628720775
137	0.3626096136
138	0.3621225702
139	0.361797152
140	0.3614870239
141	0.3611133666
142	0.3608110077
143	0.3605181512
144	0.3601706433
145	0.3598597993
146	0.3595472067
147	0.3592067978
148	0.3588161891
149	0.3585315394
150	0.3581921679
